,,,,,,,,,,,,Total element; mass number is for detection limit determination.,,,,,,,,,,,,,,,,,,,,,,,,
"Be, V, As, and Tl had NIST1640a (independent source verification) recoveries that were somewhat off from the true values, although everything else looks pretty good.  ",,,,,,,,,,,,Negative values are below detection.,,,,,,,,,,,,,,,,,,,,,,,,
Metal Values in ppb (ng/mL),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample #,Location,Material,Replicate,Day.deploy,Weight (g),Unbrushed,Optical.density of 15 beads (@ 595 nm),Lithium /  7,Beryllium /  9,Sodium /  23,Magnesium /  24,Aluminum /  27,Potassium /  39,Calcium /  44,Vanadium /  51,Chromium /  52,Manganese /  55,Iron /  56,Cobalt /  59,Nickel /  60,Copper /  63,Zinc /  66,Gallium /  71,Arsenic /  75,Selenium /  78,Rubidium /  85,Strontium /  88,Silver /  107,Cadmium /  111,Cesium /  133,Barium /  137,Thallium /  205,Lead /  208,Uranium /  238,,
DL,NA,NA,NA,NA,NA,NA,NA,0.02978,0.000009406,0.0504,0.002798,0.001841,0.04625,0.002336,0.01427,0.004695,0.00009502,0.06445,0.00006766,0.0002153,0.0007904,0.0004867,0.0001636,0.001118,0.00007062,0.00001392,0.00009981,0.00003503,0.00000685,0.00001797,0.000005799,0.000008463,0.00009469,0.00001544,,
BEC,NA,NA,NA,NA,NA,NA,NA,0.1429,0.01596,0.1946,0.3971,---,4.381,5.922,0.2991,0.1264,0.01552,0.2969,0.00279,0.02452,0.02741,0.0743,0.004436,0.0628,0.7745,0.01516,0.01468,0.0123,0.008747,0.005665,0.02637,0.01462,0.007512,0.01274,,
151,Lab,Blank,1,NA,NA,NA,NA,0.2124,-0.007261,-18.01,-2.734,-0.7981,-0.2871,6.759,0.9828,0.1899,0.01022,0.2695,0.00349,0.01321,-0.00375,0.02358,0.01384,0.1602,-0.2307,-0.002715,-0.02834,0.002138,0.008947,-0.009205,-0.01058,-0.004563,0.004537,-0.003828,,
152,Lab,Blank,2,NA,NA,NA,NA,0.1851,-0.01249,-14.09,-3.347,-1.104,-1.959,10.52,1.074,0.1477,0.008255,0.536,0.003745,-0.01191,0.01651,-0.02281,0.00413,0.2097,-0.5047,-0.007794,-0.02792,-0.003427,0.01439,-0.01315,-0.001925,-0.007434,0.01275,-0.006709,,
153,Lab,Blank,3,NA,NA,NA,NA,0.1827,-0.01492,-18.79,-2.799,-0.08359,-1.039,9.416,1.121,0.325,0.03163,7.299,0.003391,0.02869,0.02157,0.0144,0.003074,0.2681,-0.1838,-0.007152,-0.02913,-0.00791,0.02235,-0.01138,-0.008259,-0.008195,0.01125,-0.002443,,
43,CMA,Glass,1,0,2.5693,Unbrushed,0.80922,0.2052,-0.01161,400.7,169.4,317.4,2.178,283.1,-0.1404,0.05768,0.2784,31.47,0.04618,0.2952,0.2153,42.85,0.04681,-0.09255,-0.3112,0.01803,0.1661,0.04017,0.03607,-0.01066,0.6071,-0.008462,0.106,0.004284,,
44,CMA,LDPE,1,0,1.195,Unbrushed,0.06717,0.1729,-0.01791,-15.82,-1.922,1.747,-2.885,12.47,0.3514,0.06435,0.08376,15.21,0.006245,0.02382,0.05167,0.3047,0.0009707,0.02576,-0.4809,-0.002173,-0.0183,-0.00216,0.01055,-0.009704,0.007516,-0.01086,0.03302,-0.004458,,
45,CMA,PLA,1,0,1.2024,Unbrushed,0.042776,0.1557,-0.01358,-14.62,-1.943,1.587,-1.224,20.35,1.5,0.1639,0.09593,14.77,0.007217,0.03511,0.02789,0.322,-0.001218,0.2232,-0.5756,-0.002903,-0.01117,-0.01482,0.01096,-0.01222,0.01043,-0.01106,0.01805,-0.0009956,,
46,CMA,Glass,2,0,2.5651,Unbrushed,0.63091,0.1972,-0.01112,397.3,170.3,317.7,1.24,283.5,0.9358,0.07857,0.1945,28.44,0.04492,0.241,0.1845,39.81,0.04641,0.06028,-0.4286,0.004814,0.1067,0.04421,0.03539,-0.01176,0.5077,-0.01358,0.09185,0.006961,,
47,CMA,LDPE,2,0,1.2196,Unbrushed,0.026816,0.1696,-0.01749,-15.26,-1.838,1.45,-0.8282,17.02,0.1932,0.006019,0.1333,19.11,0.006913,0.04721,0.0569,0.6172,0.006888,0.03464,-0.4071,-0.002811,-0.01692,-0.002757,0.006079,-0.01219,0.02238,-0.01391,0.01882,-0.009032,,
48,CMA,PLA,2,0,1.1957,Unbrushed,0.026958,0.1409,-0.02258,-11.31,-1.166,1.239,-2.287,19.91,1.706,1.041,0.4418,45.4,0.009409,0.04936,0.07037,0.5758,0.005133,0.2152,-0.3151,-0.004175,-0.009469,-0.006404,-0.01075,-0.01176,0.01552,-0.0147,0.04451,-0.002168,,
49,CMA,Glass,3,0,2.5469,Unbrushed,0.806295,0.1825,-0.01079,401.9,171.4,302.3,3.254,296.5,0.9272,0.03087,0.1628,19.33,0.04244,0.2422,0.1005,40.95,0.04905,0.1096,-0.3721,0.009642,0.1413,0.02614,0.03897,-0.01118,0.5181,-0.01248,0.05088,-0.001117,,
50,CMA,LDPE,3,0,1.2266,Unbrushed,0.035775,0.1338,-0.01057,-17.3,-1.935,1.644,-1.91,8.062,1.265,0.03684,0.07331,10.65,0.01005,0.01626,0.04878,0.1409,0.006666,0.2589,-0.2362,-0.00449,-0.02684,-0.01183,-0.004888,-0.01208,-0.005372,-0.007287,0.02112,-0.006149,,
51,CMA,PLA,3,0,1.1852,Unbrushed,0.012045,0.1235,-0.01407,-15.09,-1.645,1.422,-1.238,12.69,1.676,-0.002857,0.103,14.84,0.004949,0.0337,0.03103,0.7,0.01342,0.401,-0.4079,-0.003712,-0.02269,-0.01165,-0.01175,-0.01028,-0.002728,-0.01395,0.02375,0.001526,,
52,CMA,Glass,1,3,2.5577,Unbrushed,0.79119,0.6614,0.01451,3397,1220,1219,138.4,2074,2.36,1.119,7.747,531.1,0.4183,1.397,1.26,373.4,0.3217,0.4247,-0.3022,0.5651,3.794,0.04842,0.05518,0.03899,4.783,-0.01162,0.4972,0.04349,,
53,CMA,LDPE,1,3,1.206,Unbrushed,0.16873,0.2571,-0.009602,17.36,77.88,103.1,20.63,37.17,2.204,0.4082,4.726,217.3,0.09896,0.5272,0.8486,1.232,0.03698,0.281,-0.2658,0.1959,0.3945,-0.01187,0.006962,0.006252,0.479,-0.01222,0.1842,0.0004229,,
54,CMA,PLA,1,3,1.2251,Unbrushed,0.17832,0.2319,-0.009794,-4.243,56.81,76.91,17.22,24.16,2.388,0.2411,3.703,156.6,0.07238,0.3466,0.3115,0.637,0.02329,0.3292,-0.1967,0.1505,0.276,-0.01088,0.01764,0.001881,0.4076,-0.01198,0.119,-0.0004926,,
